"ID","Type","TypeORE","FormRE","Province","District","Ward","Street","Project","LandNum","BlockName","FloorNum","Area","Height","Width","UsableArea","FrontLength","BackSideLength","Direction","BalconyDirection","Corner","RoadInFront","Juridical","NumOfBed","NumOfFloor","NumOfToilet","ConstructionYear","IsOwner","Furniture","Terrace","CarParking","DinningRoom","Kitchen","AirCond","ADSL","WashingMachine","Balcony","Fridge","Wifi","Pool","Basement","Park","SuperMarket","Clinics","Sea","Hospital","Church","BusStation","School","Temple","Airport","Preschool","PublishDate","StatusORE","Characteristics","Deposit","PricePSM","Price"
"61bc59d2c9129c12932a89e2","2","7","17","93","Đồng Xoài","Tiến Hưng","DT741","","","","","","20","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","6500000","650000000"
"61bc59d2c9129c12932a89e3","2","7","17","61","Thủ Dầu Một","Hiệp An","Đường Nguyễn Chí Thanh","","","","","","25","5","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","13440000","1680000000"
"61bc59d2c9129c12932a89e4","2","4","","65","Ô Môn","Phước Thới","Đường Quốc lộ 91","","","","","","15","4","176","","","","","","","","2","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","27540000","1900000000"
"61bc59d2c9129c12932a89e5","2","7","17","29","Ba Vì","Cẩm Lĩnh","Đường Tỉnh Lộ 411C","","","","","","51","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","2","","1510000","1700000000"
"61bc59d2c9129c12932a89e6","2","7","17","43","Cẩm Lệ","Khuê Trung","Đường Ông Ích Đường","","","","","","27","8","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","43750000","10500000000"
"61bc59d2c9129c12932a89e7","2","4","8","43","Sơn Trà","Nại Hiên Đông","Đường Trần Hưng Đạo","","B2.3-4","","","","24.1","6","496","","","6","","","","","4","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","38190000","5500000000"
"61bc59d2c9129c12932a89e8","2","7","17","61","Tân Uyên","Phú Chánh","DL407 NGUYỄN TRI PHƯƠNG","","","","","","45","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","3","","12330000","2650000000"
"61bc59d2c9129c12932a89e9","2","4","8","65","Ninh Kiều","An Khánh","Đường số 25","","","","","","10","4","120","","","5","","","","","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","87500000","3500000000"
"61bc59d2c9129c12932a89ea","2","7","17","29","Đông Anh","Kim Chung","Đường Kim Chung","","","","","","8","5","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","34500000","1380000000"
"61bc59d2c9129c12932a89eb","2","7","17","67","Chợ Mới","Nhơn Mỹ","Đường 1","","","","","","19","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","1810000","260000000"
"61bc59d2c9129c12932a89ec","2","4","9","70","Hòa Thành","Long Thành Trung","Hẻm 39 Đường Phạm Hùng","","","","","","45","6","270","","","4","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","6220000","1680000000"
"61bc59d2c9129c12932a89ed","2","4","9","29","Đống Đa","Thổ Quan","Đường Văn Chương","","","","","","8","4","30","","","","","","","","3","5","","","","3","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","3","","88330000","2650000000"
"61bc59d2c9129c12932a89ee","2","7","16","65","Bình Thuỷ","Bình Thủy","Đường Võ Văn Kiệt","","","","","","20","6","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","2","","29170000","3500000000"
"61bc59d2c9129c12932a89ef","2","4","8","71","Bến Tre","Sơn Đông","Đường Tỉnh lộ 884","","","","","","20","12","394","","","7","","","","","8","","6","","","2","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","3","","42890000","9950000000"
"61bc59d2c9129c12932a89f0","2","4","8","43","Ngũ Hành Sơn","Mỹ An","an thượng 17","","","","","","15","4","300","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","125000000","7500000000"
"61bc59d2c9129c12932a89f1","2","7","17","43","Cẩm Lệ","Hòa Xuân","Đường Ngô Mây","","D1-23","","","","24","5","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","2","","23970000","2900000000"
"61bc59d2c9129c12932a89f2","2","7","17","65","Bình Thuỷ","Long Tuyền","Đường Tô Vĩnh Diện","","","","","","40","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","2","","14000000","3360000000"
"61bc59d2c9129c12932a89f3","2","7","17","98","Tân Yên","Hợp Đức","Đường Tỉnh lộ 295","","","","","","22","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","15340000","1350000000"
"61bc59d2c9129c12932a89f4","2","7","16","92","Điện Bàn","Điện Ngọc","Đường Dũng Sĩ Điện Ngọc","","","BLOCK","","","21","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","2","","18100000","1900000000"
"61bc59d2c9129c12932a89f5","2","4","9","43","Sơn Trà","Thọ Quang","Đường Nguyễn Phan Vinh","","","","","","9","5","","","","8","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","40220000","1850000000"
"61bc59d2c9129c12932a89f6","2","7","15","84","Trà Vinh","9","Đường Sơn Thông","","","","","","20","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","3","","4000000","400000000"
"61bc59d2c9129c12932a89f7","2","7","17","65","Ninh Kiều","Cái Khế","Đường Trần Văn Giàu","","","","","","20","5","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","2","","33500000","3350000000"
"61bc59d2c9129c12932a89f8","2","4","8","61","Thủ Dầu Một","Chánh Nghĩa","Đường Nguyễn Tri Phương","","","","","","29","6","170","","","","","","","","3","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","3","","27350000","4650000000"
"61bc59d2c9129c12932a89f9","2","7","17","37","Hoàng Mai","Quỳnh Dị","537A","","","","","","25","8","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","10830000","1950000000"
"61bc59d2c9129c12932a89fa","2","4","9","43","Hải Châu","Hải Châu  I","Đường Hoàng Diệu","","","","","","15.8","4.2","99.6","","","","","","","","4","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","44440000","2800000000"
"61bc59d2c9129c12932a89fb","2","7","17","43","Sơn Trà","Nại Hiên Đông","Đường Hồ Sĩ Tân","","","","","","25","5","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","38800000","4850000000"
"61bc59d2c9129c12932a89fc","2","4","9","29","Hoàng Mai","Tân Mai","Đường Tân Mai","","","","","","12","4","45","","","","","","","","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","64440000","2900000000"
"61bc59d2c9129c12932a89fd","2","7","17","47","Buôn Ma Thuột","Cư ÊBur","Đường Y Moan","","","","","","26","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","5580000","725000000"
"61bc59d2c9129c12932a89fe","2","7","17","38","Hà Tĩnh","Trần Phú","Đường Trần Phú","","","","","","22","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","12030000","3561000000"
"61bc59d2c9129c12932a89ff","2","7","17","39","Trảng Bom","An Viễn","Đường Phùng Hưng","","","","","","20","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","2","","17500000","1750000000"
"61bc59d2c9129c12932a8a00","2","4","9","84","Trà Vinh","7","Đường Kiên Thị Nhẫn","","","","","","11","8","90","","","","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","13890000","1250000000"
"61bc59d2c9129c12932a8a01","2","4","9","43","Thanh Khê","Tân Chính","Đường Hải Phòng","","","","","","10","4","80","","","7","","","","","2","2","2","","","4","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","62160000","2300000000"
"61bc59d2c9129c12932a8a02","2","7","17","71","Bến Tre","Mỹ Thạnh An","Đường Lạc Long Quân","","132","","","","43","6","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","2","","10000000","2560000000"
"61bc59d2c9129c12932a8a03","2","7","17","81","Pleiku","Thống Nhất","Đường Trần Quang Diệu","","","","","","21","73","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","2","","17670000","2650000000"
"61bc59d2c9129c12932a8a04","2","4","","29","Nam Từ Liêm","Xuân Phương","Hà Nội","","","","","","12","10","62","","","","","","","","5","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-24","","","","107140000","13500000000"
